ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P102320	NM_138285	NM_138285	NM_138285	Hs.180591	129401	NUP35	nucleoporin 35kDa	ENST00000295119	THC2462098	GO:0005634(nucleus)|GO:0005643(nuclear pore)|GO:0006605(protein targeting)|GO:0015031(protein transport)|GO:0051028(mRNA transport)	"Homo sapiens nucleoporin 35kDa (NUP35), transcript variant 1, mRNA [NM_138285]"	chr2:183734560-183734619	hs|2q32.1
A_23_P102331	BQ716254		BQ716254	Hs.596087					THC2506900		"AGENCOURT_8291361 Lupski_sympathetic_trunk Homo sapiens cDNA clone IMAGE:6194571 5', mRNA sequence [BQ716254]"	chr2:166969000-166968941	hs|2q24.3
A_23_P102351	NM_004854	NM_004854	NM_004854	Hs.516370	9486	CHST10	carbohydrate sulfotransferase 10	ENST00000264249	THC2461804	GO:0005624(membrane fraction)|GO:0005794(Golgi apparatus)|GO:0005975(carbohydrate metabolic process)|GO:0007155(cell adhesion)|GO:0007612(learning)|GO:0007616(long-term memory)|GO:0008146(sulfotransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)	"Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA [NM_004854]"	chr2:100375852-100375793	hs|2q11.2
A_23_P102364	NM_019850	NM_019850	NM_019850	Hs.97316	25791	NGEF	neuronal guanine nucleotide exchange factor	ENST00000264051	THC2464911	GO:0005085(guanyl-nucleotide exchange factor activity)|GO:0005089(Rho guanyl-nucleotide exchange factor activity)|GO:0005622(intracellular)|GO:0007399(nervous system development)|GO:0030154(cell differentiation)|GO:0035023(regulation of Rho protein signal transduction)	"Homo sapiens neuronal guanine nucleotide exchange factor (NGEF), mRNA [NM_019850]"	chr2:233451771-233451712	hs|2q37.1
A_23_P102391	NM_014585	NM_014585	NM_014585	Hs.643005	30061	SLC40A1	"solute carrier family 40 (iron-regulated transporter), member 1"	ENST00000261024	THC2469799	GO:0005381(iron ion transporter activity)|GO:0005488(binding)|GO:0005506(iron ion binding)|GO:0005737(cytoplasm)|GO:0005743(mitochondrial inner membrane)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0006826(iron ion transport)|GO:0006879(iron ion homeostasis)|GO:0008021(synaptic vesicle)|GO:0009653(anatomical structure morphogenesis)	"Homo sapiens solute carrier family 40 (iron-regulated transporter), member 1 (SLC40A1), mRNA [NM_014585]"	chr2:190134054-190133995	hs|2q32.2
A_23_P102404	NM_006429	NM_006429	NM_006429	Hs.368149	10574	CCT7	"chaperonin containing TCP1, subunit 7 (eta)"	ENST00000258091	THC2589623	GO:0000074(regulation of progression through cell cycle)|GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0042802(identical protein binding)|GO:0051082(unfolded protein binding)	"Homo sapiens chaperonin containing TCP1, subunit 7 (eta) (CCT7), transcript variant 1, mRNA [NM_006429]"	chr2:73333277-73333336	hs|2p13.2
A_23_P102412	NM_019091	NM_019091	NM_019091	Hs.41086	65977	PLEKHA3	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3"		THC2461865	GO:0005543(phospholipid binding)|GO:0005545(phosphatidylinositol binding)|GO:0005575(cellular_component)|GO:0008150(biological_process)|GO:0016020(membrane)	"Homo sapiens pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 (PLEKHA3), mRNA [NM_019091]"	chr2:179077571-179077630	hs|2q31.2
A_23_P102420	NM_006430	NM_006430	NM_006430	Hs.421509	10575	CCT4	"chaperonin containing TCP1, subunit 4 (delta)"	ENST00000233836	THC2668666	GO:0000074(regulation of progression through cell cycle)|GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0051082(unfolded protein binding)	"Homo sapiens chaperonin containing TCP1, subunit 4 (delta) (CCT4), mRNA [NM_006430]"	chr2:61949238-61949179	hs|2p15
A_23_P102439	NM_001002036	NM_001002036	NM_001002036	Hs.447993	431705	ASTL	astacin-like metallo-endopeptidase (M12 family)	ENST00000342380	THC2602392	GO:0006508(proteolysis)|GO:0008270(zinc ion binding)|GO:0008533(astacin activity)|GO:0046872(metal ion binding)	"Homo sapiens astacin-like metallo-endopeptidase (M12 family) (ASTL), mRNA [NM_001002036]"	chr2:96153597-96153538	hs|2q11.2
A_23_P102454	NM_016133	NM_016133	NM_016133	Hs.7089	51141	INSIG2	insulin induced gene 2	ENST00000376273	THC2461710		"Homo sapiens insulin induced gene 2 (INSIG2), mRNA [NM_016133]"	chr2:118581181-118582331	hs|2q14.1
A_23_P102462	NM_153214	NM_153214	NM_153214	Hs.437696	129804	FLJ37440	hypothetical protein FLJ37440	ENST00000331203	THC2680338	GO:0005509(calcium ion binding)	"Homo sapiens hypothetical protein FLJ37440 (FLJ37440), mRNA [NM_153214]"	chr2:112661497-112661556	hs|2q13
A_23_P102471	NM_000251	NM_000251	NM_000251	Hs.597656	4436	MSH2	"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)"	ENST00000233146	THC2542361	GO:0000166(nucleotide binding)|GO:0000400(four-way junction DNA binding)|GO:0003684(damaged DNA binding)|GO:0003697(single-stranded DNA binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0006284(base-excision repair)|GO:0006301(postreplication repair)|GO:0007049(cell cycle)|GO:0007050(cell cycle arrest)|GO:0008340(determination of adult life span)|GO:0010165(response to X-ray)|GO:0015444(magnesium-importing ATPase activity)|GO:0032026(response to magnesium ion)|GO:0032137(guanine/thymine mispair binding)|GO:0032142(single guanine insertion binding)|GO:0032143(single thymine insertion binding)|GO:0032181(dinucleotide repeat insertion binding)|GO:0032301(MutSalpha complex)|GO:0032302(MutSbeta complex)|GO:0032357(oxidized purine DNA binding)|GO:0032405(MutLalpha complex binding)|GO:0042803(protein homodimerization activity)|GO:0043531(ADP binding)|GO:0043570(maintenance of DNA repeat elements)|GO:0045027(DNA end binding)|GO:0045910(negative regulation of DNA recombination)	"Homo sapiens mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli) (MSH2), mRNA [NM_000251]"	chr2:47563665-47563724	hs|2p21
A_23_P102481	NM_005214	NM_005214	NM_005214	Hs.247824	1493	CTLA4	cytotoxic T-lymphocyte-associated protein 4	ENST00000302823	THC2487130	GO:0005615(extracellular space)|GO:0005887(integral to plasma membrane)|GO:0006955(immune response)|GO:0016020(membrane)	"Homo sapiens cytotoxic T-lymphocyte-associated protein 4 (CTLA4), transcript variant 1, mRNA [NM_005214]"	chr2:204444452-204445731	hs|2q33.2
A_23_P102494	NM_017877	NM_017877	NM_017877	Hs.516034	54978	C2orf18	chromosome 2 open reading frame 18	ENST00000344420	NP1160722	GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens chromosome 2 open reading frame 18 (C2orf18), mRNA [NM_017877]"	chr2:26854997-26855056	hs|2p23.3
A_23_P102508	NM_021095	NM_021095	NM_021095	Hs.435735	8884	SLC5A6	"solute carrier family 5 (sodium-dependent vitamin transporter), member 6"	ENST00000380196	THC2507513	GO:0005215(transporter activity)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0006814(sodium ion transport)|GO:0008523(sodium-dependent multivitamin transporter activity)|GO:0015293(symporter activity)|GO:0016020(membrane)|GO:0031402(sodium ion binding)	"Homo sapiens solute carrier family 5 (sodium-dependent vitamin transporter), member 6 (SLC5A6), mRNA [NM_021095]"	chr2:27276615-27276556	hs|2p23.3
A_23_P102517	NM_002601	NM_002601	NM_002601	Hs.516808	5147	PDE6D	"phosphodiesterase 6D, cGMP-specific, rod, delta"	ENST00000287600	NP085850	"GO:0004114(3',5'-cyclic-nucleotide phosphodiesterase activity)|GO:0005515(protein binding)|GO:0007601(visual perception)|GO:0007602(phototransduction)|GO:0016787(hydrolase activity)|GO:0050896(response to stimulus)"	"Homo sapiens phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA [NM_002601]"	chr2:232305960-232305901	hs|2q37.1
A_23_P102523	NM_003128	NM_003128	NM_003128	Hs.503178	6711	SPTBN1	"spectrin, beta, non-erythrocytic 1"	ENST00000389980	THC2568625	GO:0003779(actin binding)|GO:0005200(structural constituent of cytoskeleton)|GO:0005516(calmodulin binding)|GO:0005856(cytoskeleton)|GO:0008091(spectrin)|GO:0016020(membrane)|GO:0051016(barbed-end actin filament capping)	"Homo sapiens spectrin, beta, non-erythrocytic 1 (SPTBN1), transcript variant 1, mRNA [NM_003128]"	chr2:54748250-54749013	hs|2p16.2
A_23_P102542	NM_203437	NM_203437	NM_203437	Hs.468760	54812	AFTPH	aftiphilin	ENST00000238856	THC2468780	GO:0005829(cytosol)|GO:0015031(protein transport)|GO:0030121(AP-1 adaptor complex)|GO:0030276(clathrin binding)	"Homo sapiens aftiphilin (AFTPH), transcript variant 1, mRNA [NM_203437]"	chr2:64673451-64673510	hs|2p14
A_23_P102551	NM_005434	NM_005434	NM_005434	Hs.185055	7851	MALL	"mal, T-cell differentiation protein-like"	ENST00000272462	THC2697151	GO:0000139(Golgi membrane)|GO:0005515(protein binding)|GO:0005886(plasma membrane)|GO:0016021(integral to membrane)|GO:0016023(cytoplasmic membrane-bound vesicle)|GO:0030136(clathrin-coated vesicle)|GO:0042632(cholesterol homeostasis)|GO:0045121(lipid raft)	"Homo sapiens mal, T-cell differentiation protein-like (MALL), mRNA [NM_005434]"	chr2:110200361-110200302	hs|2q13
A_23_P102571	NM_020062	NM_020062	NM_020062	Hs.435126	56731	SLC2A4RG	SLC2A4 regulator	ENST00000266077	THC2494668	"GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens SLC2A4 regulator (SLC2A4RG), mRNA [NM_020062]"	chr20:61845218-61845277	hs|20q13.33
A_23_P102575	NM_020062	NM_020062	NM_020062	Hs.435126	56731	SLC2A4RG	SLC2A4 regulator	ENST00000266077	THC2527931	"GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens SLC2A4 regulator (SLC2A4RG), mRNA [NM_020062]"	chr20:61844975-61845034	hs|20q13.33
A_23_P102582	NM_018840	NM_018840	NM_018840	Hs.584985	55969	C20orf24	chromosome 20 open reading frame 24	ENST00000373858	THC2603081	GO:0003674(molecular_function)|GO:0005575(cellular_component)|GO:0008150(biological_process)	"Homo sapiens chromosome 20 open reading frame 24 (C20orf24), transcript variant 1, mRNA [NM_018840]"	chr20:34674231-34674290	hs|20q11.23
A_23_P102607	ENST00000373222		BC039860	Hs.371979				ENST00000373222	THC2525006		Chromodomain-helicase-DNA-binding protein 6 (EC 3.6.1.-) (ATP- dependent helicase CHD6) (CHD-6) (Radiation-induced gene B protein). [Source:Uniprot/SWISSPROT;Acc:Q8TD26] [ENST00000373222]	chr20:39559468-39559409	hs|20q12
A_23_P102611	NM_003881	NM_003881	NM_003881	Hs.592145	8839	WISP2	WNT1 inducible signaling pathway protein 2	ENST00000372868	THC2486325	GO:0001558(regulation of cell growth)|GO:0004623(phospholipase A2 activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005520(insulin-like growth factor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0005886(plasma membrane)|GO:0007155(cell adhesion)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0016042(lipid catabolic process)	"Homo sapiens WNT1 inducible signaling pathway protein 2 (WISP2), mRNA [NM_003881]"	chr20:42789761-42789820	hs|20q13.12
A_23_P102622	NM_003833	NM_003833	NM_003833	Hs.278489	8785	MATN4	matrilin 4	ENST00000372756	THC2763532	GO:0005201(extracellular matrix structural constituent)|GO:0005518(collagen binding)|GO:0005576(extracellular region)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0030198(extracellular matrix organization and biogenesis)	"Homo sapiens matrilin 4 (MATN4), transcript variant 1, mRNA [NM_003833]"	chr20:43355677-43355618	hs|20q13.12
A_23_P102634	NM_080827	NM_080827	NM_080827	Hs.274876	140870	WFDC6	WAP four-disulfide core domain 6	ENST00000372670	THC2482568	GO:0004867(serine-type endopeptidase inhibitor activity)	"Homo sapiens WAP four-disulfide core domain 6 (WFDC6), mRNA [NM_080827]"	chr20:43600036-43596519	hs|20q13.12
A_23_P102681	BC002831		BC002831	Hs.649915	79160	MGC4294	hypothetical protein MGC4294	ENST00000306392	THC2483328		"Homo sapiens hypothetical protein MGC4294, mRNA (cDNA clone MGC:4294 IMAGE:3636069), complete cds. [BC002831]"	chr20:56644047-56644106	hs|20q13.32
A_23_P102694	NM_080831	NM_080831	NM_080831	Hs.112087	140881	DEFB129	"defensin, beta 129"	ENST00000246105	THC2479831	GO:0006952(defense response)|GO:0042742(defense response to bacterium)	"Homo sapiens defensin, beta 129 (DEFB129), mRNA [NM_080831]"	chr20:158130-158189	hs|20p13
A_23_P102706	NM_014723	NM_014723	NM_014723	Hs.323833	9751	SNPH	syntaphilin	ENST00000381873	THC2464974	GO:0007269(neurotransmitter secretion)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016081(synaptic vesicle docking during exocytosis)|GO:0017075(syntaxin-1 binding)|GO:0019717(synaptosome)|GO:0045202(synapse)	"Homo sapiens syntaphilin (SNPH), mRNA [NM_014723]"	chr20:1237612-1237671	hs|20p13
A_23_P102731	NM_175839	NM_175839	NM_175839	Hs.433337	54498	SMOX	spermine oxidase	ENST00000305958	THC2489846	GO:0006118(electron transport)|GO:0016491(oxidoreductase activity)|GO:0046208(spermine catabolic process)|GO:0046592(polyamine oxidase activity)	"Homo sapiens spermine oxidase (SMOX), transcript variant 1, mRNA [NM_175839]"	chr20:4116300-4116359	hs|20p13
A_23_P102743	NM_015939	NM_015939	NM_015939	Hs.128791	51605	CGI-09	CGI-09 protein	ENST00000203001	THC2609167	GO:0003743(translation initiation factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006446(regulation of translational initiation)|GO:0008033(tRNA processing)	"Homo sapiens CGI-09 protein (CGI-09), mRNA [NM_015939]"	chr20:5871336-5871277	hs|20p12.3
A_23_P102759	NM_014962	NM_014962	NM_014962	Hs.244590	22903	BTBD3	BTB (POZ) domain containing 3	ENST00000254977	THC2461063	GO:0005515(protein binding)	"Homo sapiens BTB (POZ) domain containing 3 (BTBD3), transcript variant 1, mRNA [NM_014962]"	chr20:11852376-11852435	hs|20p12.2
A_23_P102769	NM_052865	NM_052865	NM_052865	Hs.320823	92667	C20orf72	chromosome 20 open reading frame 72	ENST00000377710	THC2500488		"Homo sapiens chromosome 20 open reading frame 72 (C20orf72), mRNA [NM_052865]"	chr20:17898939-17898998	hs|20p11.23
A_23_P102770	NM_016100	NM_016100	NM_016100	Hs.368783	51126	NAT5	N-acetyltransferase 5	ENST00000334982	THC2721274	GO:0005622(intracellular)|GO:0008080(N-acetyltransferase activity)|GO:0008415(acyltransferase activity)|GO:0016740(transferase activity)	"Homo sapiens N-acetyltransferase 5 (NAT5), transcript variant 1, mRNA [NM_016100]"	chr20:19961859-19961918	hs|20p11.23
A_23_P102816	BX647159		BX647159	Hs.375468					THC2609588		Homo sapiens mRNA; cDNA DKFZp686H14196 (from clone DKFZp686H14196). [BX647159]	chr20:30238694-30238635	hs|20q11.21
A_23_P102832	NM_007186	NM_007186	NM_007186	Hs.443976	11190	CEP250	centrosomal protein 250kDa	ENST00000356095	THC2643537	GO:0000278(mitotic cell cycle)|GO:0005813(centrosome)|GO:0019901(protein kinase binding)|GO:0030997(regulation of centriole-centriole cohesion)	"Homo sapiens centrosomal protein 250kDa (CEP250), transcript variant 1, mRNA [NM_007186]"	chr20:33562995-33563054	hs|20q11.22
A_23_P102842	NM_021100	NM_021100	NM_021100	Hs.194692	9054	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	ENST00000374092	THC2494559	GO:0000096(sulfur amino acid metabolic process)|GO:0005615(extracellular space)|GO:0005634(nucleus)|GO:0005739(mitochondrion)|GO:0005759(mitochondrial matrix)|GO:0005829(cytosol)|GO:0006461(protein complex assembly)|GO:0008152(metabolic process)|GO:0008483(transaminase activity)|GO:0016740(transferase activity)|GO:0031071(cysteine desulfurase activity)	"Homo sapiens NFS1 nitrogen fixation 1 homolog (S. cerevisiae) (NFS1), nuclear gene encoding mitochondrial protein, mRNA [NM_021100]"	chr20:33720520-33720461	hs|20q11.22
A_23_P102864	NM_002772	NM_002772	NM_002772	Hs.149473	5651	PRSS7	"protease, serine, 7 (enterokinase)"	ENST00000284885	THC2480010	GO:0004275(enteropeptidase activity)|GO:0005044(scavenger receptor activity)|GO:0005903(brush border)|GO:0006508(proteolysis)|GO:0008233(peptidase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)	"Homo sapiens protease, serine, 7 (enterokinase) (PRSS7), mRNA [NM_002772]"	chr21:18569421-18564290	hs|21q21.1
A_23_P102876	NM_006585	NM_006585	NM_006585	Hs.125113	10694	CCT8	"chaperonin containing TCP1, subunit 8 (theta)"	ENST00000389157	NP1180563	"GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0005829(cytosol)|GO:0006457(protein folding)|GO:0042623(ATPase activity, coupled)|GO:0051082(unfolded protein binding)"	"Homo sapiens chaperonin containing TCP1, subunit 8 (theta) (CCT8), mRNA [NM_006585]"	chr21:29355599-29355540	hs|21q21.3
A_23_P102884	NM_203446	NM_203446	NM_203446	Hs.473632	8867	SYNJ1	synaptojanin 1	ENST00000382491	THC2686298	GO:0003723(RNA binding)|GO:0004439(phosphoinositide 5-phosphatase activity)|GO:0004445(inositol-polyphosphate 5-phosphatase activity)|GO:0006796(phosphate metabolic process)|GO:0006836(neurotransmitter transport)|GO:0016787(hydrolase activity)|GO:0017120(polyphosphoinositide phosphatase activity)|GO:0030118(clathrin coat)|GO:0030384(phosphoinositide metabolic process)|GO:0048015(phosphoinositide-mediated signaling)|GO:0048488(synaptic vesicle endocytosis)	"Homo sapiens synaptojanin 1 (SYNJ1), transcript variant 2, mRNA [NM_203446]"	chr21:32925573-32925514	hs|21q22.11
A_23_P102890	NM_032476	NM_032476	NM_032476	Hs.302742	64968	MRPS6	mitochondrial ribosomal protein S6	ENST00000381143	THC2623567	GO:0003735(structural constituent of ribosome)|GO:0005622(intracellular)|GO:0005739(mitochondrion)|GO:0006412(translation)|GO:0015935(small ribosomal subunit)	"Homo sapiens mitochondrial ribosomal protein S6 (MRPS6), nuclear gene encoding mitochondrial protein, mRNA [NM_032476]"	chr21:34437097-34437156	hs|21q22.11
A_23_P1029	NM_017459	NM_017459	NM_017459	Hs.389137	4237	MFAP2	microfibrillar-associated protein 2	ENST00000375535	THC2538356	GO:0001527(microfibril)|GO:0005201(extracellular matrix structural constituent)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005615(extracellular space)	"Homo sapiens microfibrillar-associated protein 2 (MFAP2), transcript variant 1, mRNA [NM_017459]"	chr1:17174784-17174725	hs|1p36.13
A_23_P10291	NM_001910	NM_001910	NM_001910	Hs.644082	1510	CTSE	cathepsin E	ENST00000358184	THC2464156	GO:0004193(cathepsin E activity)|GO:0004194(pepsin A activity)|GO:0005615(extracellular space)|GO:0005768(endosome)|GO:0006508(proteolysis)|GO:0007586(digestion)|GO:0008233(peptidase activity)|GO:0019886(antigen processing and presentation of exogenous peptide antigen via MHC class II)|GO:0042803(protein homodimerization activity)	"Homo sapiens cathepsin E (CTSE), transcript variant 1, mRNA [NM_001910]"	chr1:204498652-204498711	hs|1q32.1
A_23_P102917	NM_033173	NM_033173	NM_033173	Hs.197749	10317	B3GALT5	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5"	ENST00000380620	NP401652	"GO:0005615(extracellular space)|GO:0006486(protein amino acid glycosylation)|GO:0008378(galactosyltransferase activity)|GO:0008499(UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)"	"Homo sapiens UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 (B3GALT5), transcript variant 5, mRNA [NM_033173]"	chr21:39955889-39955948	hs|21q22.2
A_23_P102919	NM_033173	NM_033173	NM_033173	Hs.197749	10317	B3GALT5	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5"	ENST00000380620	NP401652	"GO:0005615(extracellular space)|GO:0006486(protein amino acid glycosylation)|GO:0008378(galactosyltransferase activity)|GO:0008499(UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)"	"Homo sapiens UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 (B3GALT5), transcript variant 5, mRNA [NM_033173]"	chr21:39955506-39955565	hs|21q22.2
A_23_P102925	NM_005049	NM_005049	NM_005049	Hs.449076	5822	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	ENST00000291576	THC2468621	GO:0004871(signal transducer activity)|GO:0005634(nucleus)|GO:0007165(signal transduction)	"Homo sapiens PWP2 periodic tryptophan protein homolog (yeast) (PWP2), mRNA [NM_005049]"	chr21:44375021-44375080	hs|21q22.3
A_23_P102937	NM_006936	NM_006936	NM_006936	Hs.474005	6612	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	ENST00000332859	THC2598147	GO:0000776(kinetochore)|GO:0006512(ubiquitin cycle)	"Homo sapiens SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae) (SUMO3), mRNA [NM_006936]"	chr21:45050427-45050368	hs|21q22.3
A_23_P102950	NM_080860	NM_080860	NM_080860	Hs.145925	89765	TSGA2	testis specific A2 homolog (mouse)	ENST00000291536	THC2619180	GO:0007126(meiosis)	"Homo sapiens testis specific A2 homolog (mouse) (TSGA2), mRNA [NM_080860]"	chr21:42765749-42765690	hs|21q22.3
A_23_P102965	NM_015367	NM_015367	NM_015367	Hs.631672	23786	BCL2L13	BCL2-like 13 (apoptosis facilitator)	ENST00000317582	THC2466261	GO:0005739(mitochondrion)|GO:0006917(induction of apoptosis)|GO:0006919(caspase activation)|GO:0008656(caspase activator activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0042981(regulation of apoptosis)	"Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), nuclear gene encoding mitochondrial protein, mRNA [NM_015367]"	chr22:16591363-16591422	hs|22q11.21
A_23_P102973	NM_022719	NM_022719	NM_022719	Hs.517407	8220	DGCR14	DiGeorge syndrome critical region gene 14	ENST00000252137	THC2779144	GO:0003674(molecular_function)|GO:0005634(nucleus)|GO:0005681(spliceosome)|GO:0006397(mRNA processing)|GO:0007399(nervous system development)|GO:0008380(RNA splicing)	"Homo sapiens DiGeorge syndrome critical region gene 14 (DGCR14), mRNA [NM_022719]"	chr22:17501694-17501635	hs|22q11.21
A_23_P102988	NM_006440	NM_006440	NM_006440	Hs.443430	10587	TXNRD2	thioredoxin reductase 2	ENST00000361682	NP165089	"GO:0000305(response to oxygen radical)|GO:0004791(thioredoxin-disulfide reductase activity)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0006118(electron transport)|GO:0007507(heart development)|GO:0008430(selenium binding)|GO:0015036(disulfide oxidoreductase activity)|GO:0016654(oxidoreductase activity, acting on NADH or NADPH, disulfide as acceptor)|GO:0030097(hemopoiesis)|GO:0045454(cell redox homeostasis)|GO:0050660(FAD binding)|GO:0050661(NADP binding)"	"Homo sapiens thioredoxin reductase 2 (TXNRD2), nuclear gene encoding mitochondrial protein, mRNA [NM_006440]"	chr22:18250974-18250915	hs|22q11.21
A_23_P102994	NM_002650	NM_002650	NM_002650	Hs.529438	5297	PIK4CA	"phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"	ENST00000255882	THC2473712	GO:0004430(1-phosphatidylinositol 4-kinase activity)|GO:0005515(protein binding)|GO:0005798(Golgi-associated vesicle)|GO:0006661(phosphatidylinositol biosynthetic process)|GO:0007165(signal transduction)|GO:0007268(synaptic transmission)|GO:0016740(transferase activity)	"Homo sapiens phosphatidylinositol 4-kinase, catalytic, alpha polypeptide (PIK4CA), transcript variant 1, mRNA [NM_002650]"	chr22:19395051-19394992	hs|22q11.21
A_23_P103011	NM_004914	NM_004914	NM_004914	Hs.369557	9609	RAB36	"RAB36, member RAS oncogene family"	ENST00000263116	THC2608677	GO:0000166(nucleotide binding)|GO:0003924(GTPase activity)|GO:0005525(GTP binding)|GO:0005794(Golgi apparatus)|GO:0007264(small GTPase mediated signal transduction)|GO:0015031(protein transport)	"Homo sapiens RAB36, member RAS oncogene family (RAB36), mRNA [NM_004914]"	chr22:21836428-21836487	hs|22q11.23
A_23_P103034	NM_001886	NM_001886	NM_001886	Hs.57690	1413	CRYBA4	"crystallin, beta A4"	ENST00000354760	THC2467739	GO:0005212(structural constituent of eye lens)|GO:0007601(visual perception)	"Homo sapiens crystallin, beta A4 (CRYBA4), mRNA [NM_001886]"	chr22:25354322-25354381	hs|22q12.1
A_23_P103041	NM_152236	NM_152236	NM_152236	Hs.322852	10634	GAS2L1	growth arrest-specific 2 like 1	ENST00000360113	THC2628317	GO:0005856(cytoskeleton)|GO:0007050(cell cycle arrest)	"Homo sapiens growth arrest-specific 2 like 1 (GAS2L1), transcript variant 2, mRNA [NM_152236]"	chr22:28036473-28036532	hs|22q12.2
A_23_P10305	NM_175859	NM_175859	NM_175859	Hs.227049	56474	CTPS2	CTP synthase II	ENST00000380241	THC2603850	GO:0003883(CTP synthase activity)|GO:0006221(pyrimidine nucleotide biosynthetic process)|GO:0006541(glutamine metabolic process)|GO:0016874(ligase activity)	"Homo sapiens CTP synthase II (CTPS2), transcript variant 2, mRNA [NM_175859]"	chrX:16598657-16595743	hs|Xp22.2
A_23_P103062	NM_152267	NM_152267	NM_152267	Hs.517553	91445	RNF185	ring finger protein 185	ENST00000326132	THC2479705	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0046872(metal ion binding)	"Homo sapiens ring finger protein 185 (RNF185), mRNA [NM_152267]"	chr22:29932509-29932568	hs|22q12.2
